time,seq,stamp,x,y,z
1691798951131691810,0,7500000000,0.0,0.0,0.0
1691798951163872007,1,7550000000,-3.331040332454904e-08,1.3701417778122502e-09,3.7236087990777384e-08
1691798951236662263,2,7600000000,-3.3531026844002554e-08,-4.666409481046685e-09,4.7608509134988715e-08
1691798951260295806,3,7650000000,-3.18824540102014e-08,-9.37795618938253e-09,5.4334353905005635e-08
1691798951335315863,4,7700000000,-3.1693563329326935e-08,-1.1614602613008174e-08,5.414706194528662e-08
1691798951364424948,5,7750000000,-3.1510289488778653e-08,-1.383482750583198e-08,5.393081181637172e-08
1691798951432166903,6,7800000000,-3.0216046553732674e-08,-2.843557611598157e-09,4.760280347682056e-08
1691798951465855111,7,7850000000,-3.0060160582934265e-08,7.2706138887213e-09,4.2455251758610764e-08
1691798951536507658,8,7900000000,-3.0006173545871206e-08,1.7353517733909033e-08,3.7361974847272e-08
1691798951562815177,9,7950000000,-3.4540967419616215e-08,1.8553434344426023e-08,3.887641852884372e-08
1691798951629841336,10,8000000000,-3.8988435591136295e-08,1.9384891913887262e-08,4.0579017479558395e-08
1691798951664982971,11,8050000000,-3.168977968925901e-08,-2.8553583941715033e-09,4.450526347454797e-08
1691798951727891944,12,8100000000,-3.022358896487276e-08,-3.0429478936611076e-09,4.6313360257954634e-08
1691798951765826820,13,8150000000,-2.906002194436041e-08,-3.2545437456121813e-09,4.8029921373426994e-08
1691798951837111299,14,8200000000,-2.812394406248586e-08,-3.490329580912998e-09,4.9693870352029996e-08
1691798951862540892,15,8250000000,-2.8329996126785773e-08,-3.7197085411833086e-09,5.067331088071114e-08
1691798951936113237,16,8300000000,-2.941188803617933e-08,-3.900802347800436e-09,5.094999622201613e-08
1691798951963226580,17,8350000000,-3.0589383470669424e-08,-4.041053269787653e-09,5.0956032282556414e-08
1691798952035118164,18,8400000000,-3.0961871289036935e-08,-2.751906702513906e-09,4.7985142970219385e-08
1691798952060851874,19,8450000000,0.0113183949142694,0.0014299458125606,0.0418120212852954
1691798952132096270,20,8500000000,0.0280247423797845,0.0013719265116378,0.0918578207492828
1691798952159142964,21,8550000000,0.0432037487626075,-0.0002998065319843,0.1405186206102371
1691798952233904817,22,8600000000,0.0553956478834152,0.0014190583024173,0.1922626048326492
1691798952261741947,23,8650000000,0.0660487040877342,0.0051880264654755,0.2440747022628784
1691798952333561730,24,8700000000,0.0893152803182601,0.000434235058492,0.304612934589386
1691798952359552673,25,8750000000,0.0868934094905853,0.006083789281547,0.3539481461048126
1691798952437823888,26,8800000000,0.09239012748003,0.0087920203804969,0.4124185740947723
1691798952458428765,27,8850000000,0.0931249037384986,0.0049770143814384,0.4633364379405975
1691798952536718999,28,8900000000,0.092843472957611,0.0059788282960653,0.5160542726516724
1691798952559656036,29,8950000000,0.0870963186025619,0.0044350903481245,0.573876678943634
1691798952629483775,30,9000000000,0.0890040844678878,0.0064218626357614,0.6357718110084534
1691798952660341168,31,9050000000,0.0833742842078208,0.0066324188373982,0.6922748684883118
1691798952731306923,32,9100000000,0.0732870548963546,0.00955247040838,0.738377034664154
1691798952761869668,33,9150000000,0.0629370063543319,0.0095106707885861,0.7852876782417297
1691798952841192013,34,9200000000,0.0480491518974304,0.0045373821631073,0.8448667526245117
1691798952861493483,35,9250000000,0.0276669412851333,0.0072122300043702,0.8964620232582092
1691798952945353249,36,9300000000,0.0044056773185729,0.002769770566374,0.9455418586730956
1691798952964737613,37,9350000000,-0.0169888734817504,0.0063875755295157,0.9962827563285828
1691798953041922063,38,9400000000,-0.042281687259674,0.0036027375608682,1.0375161170959473
1691798953063788409,39,9450000000,-0.0728998184204101,0.0033703043591231,1.0812232494354248
1691798953137526766,40,9500000000,-0.1117807328701019,0.0031567248515784,1.1080844402313232
1691798953161110786,41,9550000000,-0.1547439694404602,0.0024205157533288,1.1321595907211304
1691798953234356392,42,9600000000,-0.19606614112854,0.0043132989667356,1.1545817852020264
1691798953261542372,43,9650000000,-0.2360028028488159,0.0037353681400418,1.1763734817504885
1691798953335133740,44,9700000000,-0.2811165452003479,0.004211017396301,1.201411247253418
1691798953369244239,45,9750000000,-0.3222153782844543,0.0052267936989665,1.2247345447540283
1691798953437702387,46,9800000000,-0.3616935312747955,0.003938109613955,1.2422176599502563
1691798953464207734,47,9850000000,-0.403415709733963,0.0027466719038784,1.2652617692947388
1691798953534595370,48,9900000000,-0.4450121521949768,0.004485510289669,1.2885078191757202
1691798953564367268,49,9950000000,-0.4871556460857391,0.004998973570764,1.3116668462753296
1691798953634002108,50,10000000000,-0.5290653705596924,0.0055593317374587,1.334707736968994
1691798953660039916,51,10050000000,-0.5691391229629517,0.0055343783460557,1.3580939769744873
1691798953737115993,52,10100000000,-0.6132618188858032,0.0074885855428874,1.3809311389923096
1691798953762051223,53,10150000000,-0.6593832969665527,0.0082576936110854,1.4047183990478516
1691798953827227618,54,10200000000,-0.7017039060592651,0.0054352907463908,1.4293091297149658
1691798953862983727,55,10250000000,-0.7400420904159546,0.0069283097982406,1.4533543586730957
1691798953933038985,56,10300000000,-0.7867204546928406,0.0073853530921041,1.4800713062286377
1691798953964220989,57,10350000000,-0.8235299587249756,0.0051312944851815,1.498636245727539
1691798954038475016,58,10400000000,-0.8677371740341187,0.0045431284233927,1.5223383903503418
1691798954060690172,59,10450000000,-0.905807375907898,0.0064773694612085,1.5454394817352295
1691798954126387763,60,10500000000,-0.9598466753959656,0.004800425376743,1.5795589685440063
1691798954164473515,61,10550000000,-1.0006539821624756,0.0043546268716454,1.6006884574890137
1691798954234184349,62,10600000000,-1.0407462120056152,0.0027678306214511,1.624084234237671
1691798954266599904,63,10650000000,-1.0839824676513672,0.0036428559105843,1.6482343673706057
1691798954328156805,64,10700000000,-1.1229537725448608,0.0002766428515315,1.668954372406006
1691798954361089506,65,10750000000,-1.1651750802993774,0.0032734700944274,1.6925034523010254
1691798954441892005,66,10800000000,-1.2077124118804932,0.0040572872385382,1.7141499519348145
