time,stamp,x,y,x_gt,y_gt,ape,rpe
14608267152,14600000000,7.838142501425326,1.6136029765472588,7.976437501191653,1.689941691813757,157.9655228488421,-11.73591371502919
14686962210,14650000000,7.8900511691129225,1.6049887839817614,8.01690031902108,1.6646667072341463,140.18616677882176,-17.77935607002035
14709299806,14700000000,7.942131513442147,1.5945242343655341,8.055809486349386,1.6371761779001406,121.41610194524479,-18.770064833576974
14779749730,14750000000,7.995954707940816,1.5839289871727915,8.093111161453313,1.6075702456818803,99.99142744765442,-21.424674497590363
14807623331,14800000000,8.047533217141703,1.5681830017064196,8.128576679180089,1.5758044796733797,81.40104216512277,-18.590385282531653
14884381608,14850000000,8.096364620392581,1.5492388993192436,8.1622107351501,1.542110672617854,66.23082699594532,-15.170215169177451
14906486880,14900000000,8.14532090243445,1.5276298557236554,8.19378250463483,1.5064714068920757,52.879172126522924,-13.351654869422394
14979445448,14950000000,8.192331689417617,1.502162464311357,8.223322087955378,1.4691165923802363,45.303801752361096,-7.575370374161832
15009112504,15000000000,8.235259009634811,1.4764304019887557,8.250598111180123,1.4300542601111292,48.84705284529587,3.543251092934775
15087826601,15050000000,8.284462717528568,1.4459533178393051,8.275665722409686,1.3895096584245696,57.12507165201887,8.278018806722999
15108013608,15100000000,8.324127672512242,1.414038709432471,8.298295797351216,1.347516180376454,71.36198320074547,14.236911548726598
15175491927,15150000000,8.365822119322598,1.3786781861733495,8.318567875966757,1.304291692323605,88.12669279163444,16.76470959088898
15203782053,15200000000,8.40702973284165,1.3422185875317632,8.336257857489626,1.2598945555258094,108.56290612617076,20.43621333453631
15277090630,15250000000,8.43610307296846,1.3058553589954125,8.351491543699188,1.2145395970916821,124.4896753041944,15.926769178023658
15306030752,15300000000,8.452697129649321,1.2603111324405865,8.365335979880635,1.168679569019312,126.602977468675,2.1133021644805794
15381127949,15350000000,8.461705202442491,1.2132918987958907,8.37864468992757,1.1226452986567608,122.9465528431954,-3.6564246254795902
15411830896,15400000000,8.473241120805076,1.1683044029060996,8.391949838055764,1.0766099098163995,122.54041257481421,-0.40614026838119155
15481256292,15450000000,8.489822213707034,1.1180878322809664,8.405253869507517,1.030574170463276,121.69817519334129,-0.8422373814729323
15504548833,15500000000,8.505132684968693,1.0837007119014732,8.418556711973855,0.9845380579318759,131.6382582773605,9.940083084019225
15575992825,15550000000,8.514276521742824,1.0406653801123464,8.431858439133476,0.9385015953768762,131.26377738156378,-0.37448089579672494
15606290707,15600000000,8.525806814715533,0.9986593787757684,8.444772500401646,0.8923480387559148,133.67371137639162,2.409933994827834
15675896407,15650000000,8.556248894679642,0.9554812471354334,8.456292545373914,0.8458123210657322,148.38647213209936,14.712760755707738
15706927317,15700000000,8.589197520962554,0.911072531284324,8.46565134967871,0.7986642967705317,167.0307385645063,18.644266432406937
15772799418,15750000000,8.614449288634539,0.8658998916521428,8.473038770230714,0.7510433244428619,182.1783898994023,15.147651334896011
15813353787,15800000000,8.63637408074395,0.8212321087693837,8.478403929358759,0.7030689896855067,197.27415299600383,15.095763096601544
15878326297,15850000000,8.658710753605435,0.7715934920620675,8.482567250331329,0.6548868656440552,211.29829719036704,14.024144194363208
15909398857,15900000000,8.657808815832052,0.7259690468290353,8.483634819568794,0.6066197056968547,211.14176802091788,-0.1565291694491655
15983296205,15950000000,8.656421880638439,0.6759946385663727,8.484059870889908,0.5583308273884922,208.6945971161124,-2.447170904805507
16005055438,16000000000,8.653731655129015,0.6289838590284665,8.484484856177808,0.5100488242821991,206.8574906676721,-1.83710644844029
16082512614,16050000000,8.653145774716785,0.5799015644067095,8.484905287904924,0.46174344778492754,205.58745566376027,-1.270035003911818
16113794670,16100000000,8.64993289654279,0.5273015643615651,8.485319863999331,0.41347076634433033,200.1372055875526,-5.450250076207697
16175683387,16150000000,8.645244580239222,0.48161315881165906,8.485737467510102,0.36518054437927167,197.48182882164411,-2.6553767659084624
16205927542,16200000000,8.646686309988542,0.4303941998150069,8.486152792719068,0.31689852081258535,196.60182938907093,-0.8799994325731919
16285095842,16250000000,8.643660504466173,0.38483565699421424,8.48654012592845,0.26860368792237677,195.43971957141645,-1.1621098176544664
16310049955,16300000000,8.646299007718566,0.33075834181410063,8.486912685276788,0.22030966551045048,193.91469742838692,-1.5250221430295474
16382015402,16350000000,8.644627394272279,0.2815759574589214,8.487272111154503,0.17202520137942662,191.73432995336074,-2.1803674750261735
16405375163,16400000000,8.643139531508416,0.23336932955828846,8.48763146282611,0.1237301716046149,190.27218499321225,-1.462144960148487
16479977099,16450000000,8.641891647733765,0.18618114778872435,8.48797785577498,0.07544499364731068,189.6099975981298,-0.6621873950824475
16505011646,16500000000,8.640947400613019,0.13589499492328336,8.488323156712879,0.027148911396524575,187.40296291280544,-2.2070346853243494
16582159363,16550000000,8.638021711468257,0.09046978681282053,8.488655668512916,-0.02113701706109574,186.45721616254932,-0.9457467502561323
16608789440,16600000000,8.639587278871359,0.0393331048131505,8.488985927905603,-0.06943410716369461,185.77156217765616,-0.6856539848931476
16672435751,16650000000,8.637660596637627,-0.008514165922101524,8.489337286036646,-0.11771463074232198,184.1861720775674,-1.5853901000887904
16708648609,16700000000,8.636002690175395,-0.055424679981690844,8.489720177156482,-0.1659977288607694,183.37113391573874,-0.8150381618286517
16778379052,16750000000,8.634359741614615,-0.1036575985452359,8.490062702242096,-0.21429346832763915,181.82940151192076,-1.5417324038179692
16809755111,16800000000,8.633188428127431,-0.15155518424433237,8.49044495678611,-0.26258583057553736,180.84109885558547,-0.9883026563352881
16880312938,16850000000,8.631834086915504,-0.20052965376941131,8.490829750419365,-0.3108765857573916,179.0493460191243,-1.791752836461158
16912132305,16900000000,8.628886994654618,-0.2470571032583333,8.491205535791517,-0.3591713789294317,177.55504758785884,-1.4942984312654728
16979010663,16950000000,8.631163332901505,-0.30039798904645804,8.491585523339467,-0.4074760274987679,175.91950216201406,-1.6355454258447921
