%time,seq,stamp,frame_id,child_frame_id,x,y,z
0,0,0,world,base_link,0.0,0.0,0.0
8704648,1,20000000,world,base_link,0.0,4.440892098500626e-16,-2.2200991045551177e-14
30368723,2,40000000,world,base_link,7.105427357601002e-15,1.7763568394002505e-15,-4.629976957382098e-14
54524153,3,60000000,world,base_link,2.646771690706373e-13,4.0190073491430667e-13,-3.715000529425083e-12
67797987,4,80000000,world,base_link,2.6290081223123707e-13,4.0101255649460654e-13,-3.715000529425083e-12
93947366,5,100000000,world,base_link,2.6290081223123707e-13,4.005684672847565e-13,-3.715000529425083e-12
106838005,6,120000000,world,base_link,1.5987211554602254e-14,-4.707345624410664e-14,3.6760178234729324e-13
133708855,7,140000000,world,base_link,1.5987211554602254e-14,-4.8405723873656825e-14,3.724000274818451e-13
150867806,8,160000000,world,base_link,1.4210854715202004e-14,-5.1514348342607263e-14,3.912009605144817e-13
206693064,9,180000000,world,base_link,1.4210854715202004e-14,-5.3290705182007514e-14,3.988996633008668e-13
206743740,10,200000000,world,base_link,-8.881784197001252e-15,-1.5987211554602254e-14,1.4080056565113352e-13
266564465,11,220000000,world,base_link,-8.881784197001252e-15,-1.7319479184152442e-14,1.352008782706804e-13
266601549,12,240000000,world,base_link,-7.105427357601002e-15,-1.6431300764452317e-14,1.2340128918708615e-13
266611473,13,260000000,world,base_link,0.0,-1.5987211554602254e-14,5.150047055479945e-14
316509931,14,280000000,world,base_link,0.0,-1.554312234475219e-14,3.24011650842948e-14
316535851,15,300000000,world,base_link,-1.1901590823981678e-13,2.948752353404416e-13,-1.514899317101026e-12
322233339,16,320000000,world,base_link,-1.2079226507921703e-13,2.9265478929119126e-13,-1.5090984017973597e-12
347871246,17,340000000,world,base_link,-1.1901590823981678e-13,2.9176661087149114e-13,-1.5062014135924784e-12
406616921,18,360000000,world,base_link,6.394884621840902e-14,-5.3290705182007514e-14,4.839878497975292e-14
406651457,19,380000000,world,base_link,6.927791673660977e-14,-5.3290705182007514e-14,4.459974056736371e-14
406683143,20,400000000,world,base_link,6.394884621840902e-14,-5.595524044110789e-14,5.299927163804341e-14
466524948,21,420000000,world,base_link,-1.9539925233402755e-14,-1.3322676295501878e-14,1.5400875019722093e-14
