%time,seq,stamp,frame_id,x,y,z
0,0,0,world,0.0,0.0,0.0
32002007,1,50000000,world,7.643658150868761e-09,2.707759128028897e-09,3.281465410509554e-08
87606794,2,100000000,world,7.744407781729024e-09,3.414911464716397e-09,3.6007737236332105e-08
120465417,3,150000000,world,7.913192767716737e-09,3.074021703852736e-09,3.4068154519673044e-08
182112470,4,200000000,world,8.08197775370445e-09,2.7331319429890755e-09,3.212857180301398e-08
220003561,5,250000000,world,8.142401419775071e-09,2.7031903382379596e-09,3.1819553214518244e-08
282779769,6,300000000,world,8.202160728387753e-09,2.6671147512757894e-09,3.151574645698929e-08
317759812,7,350000000,world,8.257835304448236e-09,2.615600180888577e-09,3.1223272856095725e-08
381267705,8,400000000,world,8.129962481007169e-09,2.6796465046885487e-09,3.238939427774312e-08
416477749,9,450000000,world,8.002103868420818e-09,2.7436928284885202e-09,3.355552635753156e-08
484480376,10,500000000,world,6.6882295257642e-09,2.394342724088005e-09,3.4655421643492446e-08
525016318,11,550000000,world,6.675773711606325e-09,2.391792763845046e-09,3.5328231007270006e-08
582528696,12,600000000,world,6.663267715367738e-09,2.399298093536117e-09,3.5995164182622836e-08
619852740,13,650000000,world,6.5660699100078546e-09,2.489479955514184e-09,3.6478432718922704e-08
688748079,14,700000000,world,6.2418679114273345e-09,2.5703936756826806e-09,3.630025346978982e-08
734448161,15,750000000,world,5.9176659128468145e-09,2.6513073958511772e-09,3.612207422065694e-08
787893355,16,800000000,world,6.5502119284133195e-09,2.2902753027409517e-09,3.48467104061001e-08
821411946,17,850000000,world,6.744839353700627e-09,2.409567434469295e-09,3.3388264597533635e-08
891792074,18,900000000,world,8.036146859069504e-09,2.6650832651853307e-09,3.3315760816776674e-08
930925238,19,950000000,world,9.32745436443838e-09,2.920599095901366e-09,3.324325703601971e-08
995429400,20,1000000000,world,9.727317618057896e-09,3.0193343381057502e-09,3.362886147328936e-08
1019363587,21,1050000000,world,6.752294279266381e-09,2.411936650403845e-09,3.3400230137203835e-08
1085795717,22,1100000000,world,-0.0005696235457435,0.0001009766128845,0.0226174592971801
1124269808,23,1150000000,world,0.0002206384961027,0.0016200976679101,0.0626574084162712
1184799559,24,1200000000,world,0.0022072028368711,-0.0004659200494643,0.0981928259134292
1226845933,25,1250000000,world,0.0011240802705287,-0.0009395300876349,0.1367989480495453
1288750585,26,1300000000,world,0.0028327447362244,0.001190694514662,0.1772889047861099
1319368765,27,1350000000,world,0.0024684281088411,0.0011749430559575,0.2123358100652694
1394187422,28,1400000000,world,0.0020062185358256,0.0004985378473065,0.2501752376556396
1420531286,29,1450000000,world,0.0025155623443424,-0.000243807764491,0.2888285517692566
1484220463,30,1500000000,world,0.0036964267492294,0.0008310747216455,0.3259963691234588
1518601065,31,1550000000,world,0.0040366873145103,-0.0016127856215462,0.3627377450466156
1585756301,32,1600000000,world,0.0061946073547005,-0.003026254940778,0.3973318934440613
1624762305,33,1650000000,world,0.0041739186272025,0.000551153672859,0.4398719668388366
1690310894,34,1700000000,world,0.0027162476908415,-0.0001431330310879,0.4778153300285339
1720791941,35,1750000000,world,0.0037597771733999,0.0027049435302615,0.5151869058609009
1786454059,36,1800000000,world,0.0027070788200944,-0.0006792457425035,0.5484628081321716
1830474513,37,1850000000,world,0.0033284772653132,-0.0007559250807389,0.5862739682197571
1886352049,38,1900000000,world,0.003930774051696,-0.0012523143086582,0.623623251914978
1918294573,39,1950000000,world,0.0060749500989913,0.0006851581274531,0.6631483435630798
1992733610,40,2000000000,world,0.0134350582957267,0.0029218895360827,0.7081357836723328
2029743991,41,2050000000,world,0.0192371439188718,0.0070423800498247,0.7467789649963379
2098119744,42,2100000000,world,0.0258821733295917,-0.0018950153607875,0.7732324004173279
2120173029,43,2150000000,world,0.0322828218340873,0.0007597412914037,0.8131058216094971
2194426540,44,2200000000,world,0.03993596509099,0.003830422880128,0.858121931552887
2225460240,45,2250000000,world,0.0488772951066494,0.0025147278793156,0.8917558193206787
2289734703,46,2300000000,world,0.059093452990055,0.0018310789018869,0.927327275276184
2324141419,47,2350000000,world,0.0707705244421958,0.0031595421023666,0.9616916179656982
2388480622,48,2400000000,world,0.0823135375976562,-0.0005828408757224,0.9891594052314758
2417806666,49,2450000000,world,0.0877840667963028,0.002008969662711,1.0328519344329834
2485667462,50,2500000000,world,0.093914657831192,0.0008200526935979,1.0798871517181396
2518202059,51,2550000000,world,0.1003894805908203,0.0010120456572622,1.117645502090454
2596054198,52,2600000000,world,0.1102206707000732,0.0011974311200901,1.1569472551345823
2619032792,53,2650000000,world,0.1223585307598114,0.0003833519294857,1.1906871795654297
2686097137,54,2700000000,world,0.1359778344631195,-0.000642217695713,1.2253034114837646
2721827579,55,2750000000,world,0.1496602892875671,0.0009969999082386,1.2607054710388184
2788784568,56,2800000000,world,0.1674646735191345,0.0004633889766409,1.2984503507614136
2822921969,57,2850000000,world,0.1823173761367797,-0.000161318865139,1.3330838680267334
2891438574,58,2900000000,world,0.2021654695272445,0.0005047862068749,1.3675035238265991
2924365036,59,2950000000,world,0.2145024985074997,-0.000511007849127,1.40024995803833
2997175394,60,3000000000,world,0.2319273054599762,-0.0009446670301258,1.4356776475906372
3024785901,61,3050000000,world,0.2454785704612732,0.0006132186972536,1.470317244529724
3084299108,62,3100000000,world,0.2636323273181915,-0.0002740607014857,1.5044986009597778
3122656621,63,3150000000,world,0.2804986834526062,0.0018256597686558,1.5391045808792114
3187912764,64,3200000000,world,0.2961675524711609,0.0018294530455023,1.575323462486267
