%time,seq,stamp,frame_id,x,y,z
0,0,0,world,0.0,0.0,0.0
55489956,1,67000000,world,0.0007210110197775,-1.2693621101789176e-05,0.0001661662245169
101869130,2,134000000,world,-0.000137119408464,-0.0001267463667318,0.0005492971977218
139183714,3,200000000,world,-0.000665956933517,-0.0005435480270534,0.0003713784972205
192252540,4,234000000,world,-0.0006504597258754,0.000117513583973,0.0006436667172238
237292526,5,267000000,world,0.0004457594768609,0.000358068908099,0.0002138511044904
287009536,6,300000000,world,0.0002097930992022,-0.0004604145360644,0.0005587931955233
341366606,7,367000000,world,-0.000331086339429,0.0003702758694998,3.520007885526866e-05
391238213,8,400000000,world,0.0001403860806021,-0.0005061838310211,0.0001883047370938
441525097,9,467000000,world,0.0001704439346212,-0.0003505393397063,2.333979500690475e-05
482860134,10,500000000,world,0.000349445734173,-3.3254269510507584e-05,1.359914313070476e-05
527982390,11,567000000,world,-0.0004010266857221,3.305432619526982e-05,0.0003452588862273
579163881,12,600000000,world,0.0004175368230789,-0.00020273651171,0.000259621971054
622197095,13,667000000,world,-4.550127778202295e-05,0.0003058924339711,0.0004742082383017
671910296,14,700000000,world,-0.0004325548070482,-0.0005954982480034,0.0007375825662165
716039497,15,767000000,world,0.0003818602126557,-0.0001185685032396,3.418212872929871e-05
767236034,16,800000000,world,0.0004996578209102,0.0003653060994111,0.0002861256361939
821738522,17,867000000,world,-0.0005193736869841,-0.0002125813625752,-7.427600212395191e-05
871543928,18,900000000,world,0.0003804289735853,0.0001358281006105,0.000309422641294
919509634,19,967000000,world,-0.0003791033523157,-9.774038335308433e-05,0.0006751011824235
966758425,20,1000000000,world,0.0002010066527873,0.0002130959037458,0.0004261771391611
1023052827,21,1067000000,world,-0.0004906266112811,0.0001008722465485,0.000645542750135
1072897309,22,1100000000,world,3.4941243939101696e-05,-8.353154407814145e-05,0.0004715240793302
1118959211,23,1167000000,world,-0.0007822555489838,0.0001119270455092,0.0003096959553658
1165169250,24,1200000000,world,-0.0003198186168447,-0.0003356841625645,0.0005291251000016
1214763314,25,1267000000,world,-0.0004914946039207,-5.562917067436501e-05,-0.0001167005393654
1258404149,26,1300000000,world,-0.0003475984558463,0.0004100910155102,0.0001008738618111
1301769194,27,1367000000,world,0.0012553192209452,0.000417940551415,-0.0006186292739585
1357345888,28,1400000000,world,0.000220229208935,-0.0006143418722786,0.000773680396378
1408844213,29,1467000000,world,0.0006504745688289,-4.860687477048487e-05,0.0005733834113925
1455770944,30,1500000000,world,0.0011857459321618,0.0007996764034032,0.0001907179830595
1495207177,31,1567000000,world,0.0004683863953687,-0.0002718944451771,0.0004830763500649
1545641821,32,1600000000,world,0.0004886801471002,-0.0008771260036155,0.0002773176820483
1598072924,33,1634000000,world,0.0003515287535265,0.0003521259641274,0.0010547802085056
