%time,seq,stamp,frame_id,child_frame_id,x,y,z
0,0,0,world,base_link,0.0,0.0,0.0
19945853,1,20000000,world,base_link,7.105427357601002e-15,-8.881784197001252e-16,-9.519815491465522e-14
45332575,2,40000000,world,base_link,-1.7763568394002505e-14,8.881784197001252e-16,1.8850199179354377e-13
59640118,3,60000000,world,base_link,-1.0658141036401503e-14,-8.881784197001252e-16,1.078026556911027e-13
81761806,4,80000000,world,base_link,-3.552713678800501e-15,-8.881784197001252e-16,1.840194663316197e-14
108289768,5,100000000,world,base_link,3.552713678800501e-15,-2.6645352591003757e-15,-7.579700755933061e-14
141566834,6,120000000,world,base_link,-7.815970093361102e-14,-8.881784197001252e-16,6.779021788361206e-13
141617289,7,140000000,world,base_link,-1.4210854715202004e-14,-8.881784197001252e-16,1.2500070423193677e-13
171804938,8,160000000,world,base_link,-7.105427357601002e-15,-1.7763568394002505e-15,3.660266534311063e-14
214183023,9,180000000,world,base_link,0.0,-3.552713678800501e-15,-5.659708812721931e-14
214216879,10,200000000,world,base_link,1.4210854715202004e-14,-5.329070518200751e-15,-1.5519877050174102e-13
274172126,11,220000000,world,base_link,-2.1316282072803006e-14,-2.6645352591003757e-15,1.4179976637329617e-13
274271732,12,240000000,world,base_link,-1.4210854715202004e-14,-3.552713678800501e-15,5.4799914606107336e-14
274286485,13,260000000,world,base_link,-3.552713678800501e-15,-4.440892098500626e-15,-3.749778265671466e-14
324050178,14,280000000,world,base_link,3.552713678800501e-15,-5.329070518200751e-15,-1.3499965034746708e-13
324070307,15,300000000,world,base_link,-2.4868995751603507e-14,-4.440892098500626e-15,1.5800208363891954e-13
345088604,16,320000000,world,base_link,-1.7763568394002505e-14,-4.440892098500626e-15,7.270226087818799e-14
345114679,17,340000000,world,base_link,0.0,-5.329070518200751e-15,-1.8599705109423326e-14
394071565,18,360000000,world,base_link,0.0,-7.105427357601002e-15,-1.149982886694545e-13
394115730,19,380000000,world,base_link,-2.4868995751603507e-14,-4.440892098500626e-15,1.7330234469703498e-13
444119407,20,400000000,world,base_link,-1.4210854715202004e-14,-6.217248937900877e-15,9.030276526544867e-14
444143183,21,420000000,world,base_link,-7.105427357601002e-15,-6.217248937900877e-15,0.0
494176726,22,440000000,world,base_link,-3.552713678800501e-15,-7.105427357601002e-15,-9.529876887626187e-14
494212901,23,460000000,world,base_link,-2.4868995751603507e-14,-5.329070518200751e-15,1.8850199179354377e-13
494232138,24,480000000,world,base_link,-1.7763568394002505e-14,-7.105427357601002e-15,1.078998002057574e-13
544294411,25,500000000,world,base_link,-7.105427357601002e-15,-7.993605777301127e-15,1.8502560594768624e-14
544327303,26,520000000,world,base_link,0.0,-9.769962616701378e-15,-7.569986304467591e-14
563612234,27,540000000,world,base_link,-7.815970093361102e-14,-7.993605777301127e-15,6.779021788361206e-13
563635233,28,560000000,world,base_link,-1.4210854715202004e-14,-7.993605777301127e-15,1.2510131819354342e-13
604345062,29,580000000,world,base_link,-3.552713678800501e-15,-8.881784197001252e-15,3.6800423819371986e-14
604382809,30,600000000,world,base_link,3.552713678800501e-15,-9.769962616701378e-15,-5.639932965095795e-14
654018738,31,620000000,world,base_link,2.1316282072803006e-14,-1.1546319456101628e-14,-1.5509815654013437e-13
658636998,32,640000000,world,base_link,-1.0658141036401503e-14,-9.769962616701378e-15,1.4190038033490282e-13
704102985,33,660000000,world,base_link,3.552713678800501e-15,-9.769962616701378e-15,5.490052856771399e-14
704139334,34,680000000,world,base_link,1.4210854715202004e-14,-1.1546319456101628e-14,-3.7300024180453306e-14
704177886,35,700000000,world,base_link,2.4868995751603507e-14,-1.2434497875801753e-14,-1.3479842242425377e-13
754107187,36,720000000,world,base_link,0.0,-1.0658141036401503e-14,1.581026976005262e-13
754145361,37,740000000,world,base_link,1.0658141036401503e-14,-1.1546319456101628e-14,7.280287483979464e-14
775911386,38,760000000,world,base_link,2.4868995751603507e-14,-1.1546319456101628e-14,-1.849909114781667e-14
807711989,39,780000000,world,base_link,2.842170943040401e-14,-1.3322676295501878e-14,-1.1479706074624119e-13
854048228,40,800000000,world,base_link,1.0658141036401503e-14,-1.1546319456101628e-14,1.7340295865864164e-13
854081123,41,820000000,world,base_link,1.7763568394002505e-14,-1.2434497875801753e-14,9.050052374171003e-14
854152690,42,840000000,world,base_link,2.842170943040401e-14,-1.3322676295501878e-14,2.0122792321330962e-16
914114779,43,860000000,world,base_link,3.552713678800501e-14,-1.4210854715202004e-14,-9.509754095304856e-14
914158914,44,880000000,world,base_link,1.7763568394002505e-14,-1.2434497875801753e-14,1.8860260575515042e-13
914205815,45,900000000,world,base_link,2.4868995751603507e-14,-1.4210854715202004e-14,1.0800041416736406e-13
974257922,46,920000000,world,base_link,3.552713678800501e-14,-1.4210854715202004e-14,1.860317455637528e-14
974306906,47,940000000,world,base_link,4.618527782440651e-14,-1.5987211554602254e-14,-7.559924908306925e-14
974361325,48,960000000,world,base_link,-2.842170943040401e-14,-1.4210854715202004e-14,6.780027927977272e-13
1024190409,49,980000000,world,base_link,3.552713678800501e-14,-1.4210854715202004e-14,1.2520193215515008e-13
1024221112,50,1000000000,world,base_link,4.618527782440651e-14,-1.5987211554602254e-14,3.6800423819371986e-14
1045209939,51,1020000000,world,base_link,0.007949571195368321,0.006458668484914831,-5.498509980661481e-11
1045237671,52,1040000000,world,base_link,0.019633159115731047,0.01595056681273732,-5.502389863187851e-11
1104245493,53,1060000000,world,base_link,0.03132203982149662,0.025447004331178746,-5.5023999245840116e-11
1104300819,54,1080000000,world,base_link,0.04301093124088595,0.034943439360190176,-5.5023999245840116e-11
1104360474,55,1100000000,world,base_link,0.0546998383898476,0.044439855276800166,-5.502409985980172e-11
1154222131,56,1120000000,world,base_link,0.06638876198666921,0.053936251197610474,-5.502409985980172e-11
1160148146,57,1140000000,world,base_link,0.07807770208263065,0.06343262706022124,-5.502409985980172e-11
1204085614,58,1160000000,world,base_link,0.08976665868155465,0.07292898285989668,-5.502419700431638e-11
1204115600,59,1180000000,world,base_link,0.10145563178393502,0.0824253185959618,-5.5024297618277984e-11
1204169613,60,1200000000,world,base_link,0.11314462139004888,0.09192163426803646,-5.5024297618277984e-11
1264126776,61,1220000000,world,base_link,0.12483362750014138,0.10141792987575737,-5.5024297618277984e-11
1264146828,62,1240000000,world,base_link,0.13652265011443632,0.11091420541876396,-5.5024297618277984e-11
1299865379,63,1260000000,world,base_link,0.1482116892331966,0.12041046089669472,-5.502439823223959e-11
1299914959,64,1280000000,world,base_link,0.15990074485667094,0.1299066963091846,-5.502439823223959e-11
1344193917,65,1300000000,world,base_link,0.17158981698506537,0.1394029116558766,-5.50244988462012e-11
1344225047,66,1320000000,world,base_link,0.183278905618657,0.14889910693641006,-5.50244988462012e-11
1344242189,67,1340000000,world,base_link,0.19496801075768033,0.15839528215041998,-5.50244988462012e-11
1394409267,68,1360000000,world,base_link,0.20665713240238048,0.16789143729754485,-5.5024599460162804e-11
1394463903,69,1380000000,world,base_link,0.2183462705529884,0.17738757237742586,-5.5024599460162804e-11
1406130075,70,1400000000,world,base_link,0.23003542520974563,0.18688368738969885,-5.5024599460162804e-11
1448998642,71,1420000000,world,base_link,0.2417245963729009,0.19637978233400588,-5.502470007412441e-11
1494097106,72,1440000000,world,base_link,0.25341378404270287,0.20587585720998014,-5.502470007412441e-11
1494120822,73,1460000000,world,base_link,0.26510298821939315,0.2153719120172628,-5.5024797218639065e-11
1494125971,74,1480000000,world,base_link,0.2767922089032062,0.22486794675549415,-5.5024797218639065e-11
1554086891,75,1500000000,world,base_link,0.2884814460943872,0.23436396142431093,-5.502489783260067e-11
1554122779,76,1520000000,world,base_link,0.30017069979318123,0.24385995602335164,-5.502489783260067e-11
1570927341,77,1540000000,world,base_link,0.31185996999982635,0.2533559305522557,-5.502489783260067e-11
1570957938,78,1560000000,world,base_link,0.32354925671457835,0.2628518850106598,-5.502489783260067e-11
1614265305,79,1580000000,world,base_link,0.33523855993767526,0.2723478193982043,-5.502499844656228e-11
1614295232,80,1600000000,world,base_link,0.3469278796693551,0.28184373371452676,-5.5025099060523885e-11
1674169110,81,1620000000,world,base_link,0.35861721590985596,0.2913396279592657,-5.5025099060523885e-11
1674196838,82,1640000000,world,base_link,0.37030656865943357,0.3008355021320588,-5.5025099060523885e-11
