stamp,x,y,x_gt,y_gt
10967000000,2.695054854940049,1.8398877353413963,2.803162545287355,1.8825249496070127
11000000000,2.720208457521194,1.8448557497087212,2.8278005290522703,1.8872734093280128
11067000000,2.7719465513841017,1.855550443682811,2.877830108926346,1.8969373395596723
11100000000,2.7985893298522644,1.8565354414352648,2.902477864758149,1.901699618648872
11167000000,2.8472532855346206,1.8674893581339846,2.9525135876786486,1.9113609567691796
11200000000,2.870590308812155,1.875621664676228,2.977157833613651,1.9161159553323608
11267000000,2.9203081049450126,1.8845758721045671,3.027198632596567,1.9257691112501498
11334000000,2.971006749340816,1.8944509439472017,3.077234203860523,1.9354124328235707
11400000000,3.020253838662945,1.9036924882035748,3.126520035354874,1.9449006322618807
11467000000,3.0755623109895858,1.9092831215536914,3.176567617261885,1.9545450831503715
11500000000,3.107136256314736,1.9272693018573643,3.2012132161402302,1.9592890097912563
11567000000,3.155689391183156,1.9319698138461772,3.251257343306704,1.9689157167741618
11600000000,3.179611450756865,1.9387502056396415,3.27591128971933,1.973660840736997
11667000000,3.228122078157701,1.952092716530942,3.3259506112439396,1.9832778205892199
11700000000,3.253420269042973,1.9515955761073265,3.3505979190490454,1.988008120312473
11800000000,3.3262133656485404,1.9703065935338233,3.4252952517325124,2.0023566740795853
11867000000,3.3788394238615407,1.9804687508941554,3.475341998324983,2.0119576096627654
11900000000,3.4017203888298795,1.9825980299474675,3.4999937908730434,2.016688960544354
11967000000,3.4501392731863225,1.994307810783416,3.550041192687769,2.0262852006240712
12000000000,3.476632511524681,1.9998024238118868,3.5746962333932526,2.0310135468106405
12067000000,3.525730146091706,2.010549760362794,3.624740351610969,2.040590801152697
12134000000,3.573021362015721,2.0218167569262713,3.6747976647723184,2.0501789471678626
12167000000,3.598894960496894,2.0264987982092144,3.6994489599373503,2.054895724797807
12267000000,3.6721709334608588,2.0435407224024624,3.774159668213268,2.069185554568024
12300000000,3.697292977046292,2.0498041783372667,3.798808896189501,2.073894350274104
12367000000,3.7457984824751582,2.057588184079303,3.848868217745259,2.0834602719948294
12400000000,3.766876480267166,2.0629638465821767,3.8735208684598863,2.088169761525982
12467000000,3.8143328130503975,2.075250607489004,3.9235820870113565,2.0977280923224932
12567000000,3.8904516666822673,2.0901395371345255,3.9982980744206156,2.1119838411028993
12600000000,3.9145236871601647,2.093600901823529,4.022953836459854,2.1166816242090847
12667000000,3.961084435290572,2.1052958778744784,4.073020721308366,2.1262374784017903
12700000000,3.987999803100509,2.111945842208018,4.097673457267755,2.130920380975359
12734000000,4.010996155003178,2.117489034290437,4.12307732311666,2.1357592076557625
12800000000,4.061981520694116,2.1273864593201997,4.172496147872765,2.14470012563295
12867000000,4.109251526166265,2.1335804061171464,4.222967306374164,2.1522777265648934
12900000000,4.134607185603352,2.135314804490808,4.24797173859489,2.1552131539977477
13000000000,4.211532401272721,2.139219179448414,4.324141748469982,2.162062429763987
13067000000,4.260802236516836,2.1424339739614267,4.375349116865102,2.1641851870066344
13100000000,4.287347647586983,2.1418823112557037,4.40051250624351,2.164921889616281
13167000000,4.335531662507407,2.1434075094810354,4.451481481264041,2.1663267251196663
13200000000,4.361767225480086,2.146748403727308,4.476576305454353,2.1670371703372715
13267000000,4.415743512902971,2.1511040122662344,4.527518854781125,2.1685243313405516
13300000000,4.441342040519098,2.150893528317617,4.552607703101964,2.169278091825624
13367000000,4.489284477231141,2.153195464689628,4.603543773313582,2.1708573466478422
13400000000,4.51465363467967,2.1531082780139634,4.628630138626333,2.171654995191069
13500000000,4.590007638349757,2.1538158655312944,4.704660631707951,2.174162924970371
13567000000,4.637043783652062,2.1545365268521732,4.755605595021835,2.1759052792283033
13600000000,4.665372679369566,2.163926940975806,4.780693371030916,2.1767773105075983
13667000000,4.74549257161285,2.170308053150123,4.831635593552754,2.178592079829621
13700000000,4.768976354444799,2.170294221075559,4.856725537224305,2.179498753480237
13767000000,4.820808385422664,2.1759142286618705,4.907751159719236,2.1817099172596106
13800000000,4.8453906389057355,2.177791378220767,4.93298635241373,2.183445179724471
13867000000,4.896113341941903,2.1779101303320147,4.9842681151124575,2.1866277018119127
13900000000,4.922652112126948,2.180770541977,5.009544642229466,2.187698486747412
14000000000,4.998756126043253,2.179305920770197,5.086195188001261,2.188265041771331
14067000000,5.05085393317478,2.175364353421335,5.13755778463551,2.1882650417704483
14100000000,5.076963932552038,2.1809720831061084,5.16285577999267,2.188265041770013
14167000000,5.128774033911125,2.18062054331334,5.214218376626901,2.1882650417691303
14267000000,5.204985112814686,2.1855582699083915,5.290875243451463,2.1886392628835023
14300000000,5.229224799499954,2.1849357732424104,5.3161641703065765,2.1885805044047246
14367000000,5.285282515985891,2.18177895009256,5.367465282387329,2.1872415218241335
14467000000,5.355893188981003,2.172646800661888,5.443841760862027,2.1823145928455534
14500000000,5.378572488705085,2.1687028194170153,5.468973298935774,2.179923308738489
14567000000,5.431190793407261,2.1629561369503407,5.519840597481308,2.1738207287200653
14600000000,5.453939508523403,2.158111327391242,5.544811463385125,2.170247915024825
14700000000,5.523606005124288,2.1433154996584953,5.6200467697472245,2.156981394915587
14734000000,5.550490254819957,2.1334825145858396,5.645451249334182,2.1516689891627405
14800000000,5.604193160464467,2.124894091539967,5.694475191656776,2.14035832194079
14867000000,5.65127096107342,2.1130277788138443,5.743744537058722,2.127008695735778
14900000000,5.672912977509839,2.100639187011356,5.767840202547619,2.119903980968861
14967000000,5.727723052973147,2.08822463411891,5.816316819551888,2.104259804419711
15000000000,5.74311416497307,2.073810288857954,5.839991111586189,2.0961596530751856
15067000000,5.791087712432597,2.058015804508503,5.8877537961377095,2.079293185965069
15100000000,5.81500940759692,2.051324029993283,5.911207535471112,2.070903182688717
15167000000,5.863791249161256,2.036267058457203,5.958840372172664,2.0538406261582254
15200000000,5.8888889764378,2.027065370579928,5.982290660100111,2.045441667118436
15267000000,5.938834391751476,2.0160037226338274,6.02991650877893,2.0283609992619147
15300000000,5.961562842269604,2.0016349005671086,6.053363355275495,2.019953119830922
15367000000,6.010493967002105,1.9864462429654823,6.100982209895257,2.002854344496329
15400000000,6.034098763434329,1.977532826712407,6.1244256119386,1.99443754645177
15467000000,6.081779357514636,1.9620769149617012,6.172037466371295,1.9773206672437427
15500000000,6.103130022652734,1.9516674121764344,6.195477420944362,1.9688949523616057
15567000000,6.152839446558179,1.9376460900253876,6.243082269041952,1.9517599729049122
15600000000,6.17617993721127,1.9296915064229037,6.266518773081122,1.9433253429828827
15667000000,6.225936571960265,1.9152014695101673,6.314116608646548,1.9261722669008106
15700000000,6.24804026378861,1.9102007469055877,6.3375496590943765,1.917728723722817
