stamp,x,y,x_gt,y_gt
0,0.0,0.0,0.0,0.0
50000000,4.553625831960062e-08,2.7368379340586557e-08,1.3589129821411916e-13,2.0183854587685346e-13
100000000,4.365254024918386e-08,2.738374760280493e-08,2.6290081223123707e-13,4.005684672847565e-13
150000000,4.947504006480585e-08,2.6203675451696995e-08,1.509903313490213e-14,-4.9960036108132044e-14
200000000,4.808403364364722e-08,2.6578383716113763e-08,-8.881784197001252e-15,-1.5987211554602254e-14
250000000,4.858593083412188e-08,2.7212634812201486e-08,-3.552713678800501e-15,-1.6209256159527285e-14
300000000,4.836469225111273e-08,2.729588333139077e-08,-1.1901590823981678e-13,2.948752353404416e-13
350000000,4.8143453224014365e-08,2.7379131961602354e-08,-2.7533531010703882e-14,1.192379528447418e-13
400000000,4.784473661700872e-08,2.7379419287321127e-08,6.394884621840902e-14,-5.595524044110789e-14
450000000,4.7546020010003076e-08,2.7379706502017598e-08,-1.5987211554602254e-14,-1.3322676295501878e-14
500000000,4.724730295890822e-08,2.7379993716714068e-08,2.4513724383723456e-13,3.8768988019910466e-13
550000000,4.693370625474813e-08,2.7371720556779167e-08,1.199040866595169e-13,1.6275869541004795e-13
600000000,4.6602653291927254e-08,2.7040587435855912e-08,-7.105427357601002e-15,-6.52811138479592e-14
650000000,4.885520299424684e-08,2.7171924044111506e-08,-2.5757174171303632e-14,-2.9531932455029164e-14
700000000,4.997091718195179e-08,2.5962182514938092e-08,-1.9539925233402755e-14,-3.019806626980426e-14
750000000,4.740884484988328e-08,2.7815648118156844e-08,-1.412203687323199e-13,2.7977620220553945e-13
800000000,4.7130093161484865e-08,2.7287945902898514e-08,4.440892098500626e-14,-6.616929226765933e-14
850000000,4.78511106294377e-08,2.76441205482314e-08,6.217248937900877e-15,-4.8183679268731794e-14
900000000,4.8373295147285944e-08,2.791923414680042e-08,-3.552713678800501e-14,-2.7533531010703882e-14
950000000,4.85038906816726e-08,2.7876963515360842e-08,2.255973186038318e-13,3.743672039036028e-13
1000000000,4.863448577197005e-08,2.783469277289896e-08,-2.6645352591003757e-14,-7.37188088351104e-14
1050000000,4.8765081306356706e-08,2.7792422141459383e-08,-3.552713678800501e-14,-6.017408793468348e-14
1100000000,4.583169310734547e-08,2.6402144692738716e-08,-4.440892098500626e-14,-4.39648317751562e-14
1150000000,5.000821312606263e-08,2.557736689112744e-08,-3.907985046680551e-14,-4.263256414560601e-14
1200000000,4.835083222687331e-08,2.727847070449485e-08,-1.6342482922482304e-13,2.6689761511988763e-13
1250000000,4.673029163626552e-08,2.8498231108287086e-08,2.7533531010703882e-14,-8.08242361927114e-14
1300000000,4.721404334162571e-08,2.745803584502937e-08,-5.3290705182007514e-14,-4.1300296516055823e-14
1350000000,4.768169903357489e-08,2.756351369370691e-08,-5.240252676230739e-14,-4.085620730620576e-14
1400000000,4.814935428143485e-08,2.7668991431362144e-08,2.042810365310288e-13,3.597122599785507e-13
1450000000,4.861700952929482e-08,2.777446916901738e-08,-3.9968028886505635e-14,-9.059419880941277e-14
1500000000,4.596231528708472e-08,2.6537236519352803e-08,-5.861977570020827e-14,-5.773159728050814e-14
1550000000,5.003344538678789e-08,2.5987089036227928e-08,-6.394884621840902e-14,-5.88418203051333e-14
1600000000,4.9946526026189986e-08,2.583592573213167e-08,-1.7763568394002505e-13,2.5490720645393594e-13
1650000000,0.009578941281449094,0.01961634019687375,0.011141304360217319,0.02363708760292116
1700000000,0.02399235030376623,0.05315087859113643,0.027814444860437604,0.057502443182788965
1750000000,0.042486682185447044,0.08575439813781127,0.045757387004695005,0.09068142954222924
1800000000,0.060086757966066884,0.11901682000247626,0.06485936570255646,0.12318224477163531
1850000000,0.08048320237811035,0.15148961513076376,0.08519054382637492,0.15490488199842944
1900000000,0.10178093605132554,0.1884936775403575,0.10663061016945363,0.18586991156173172
1950000000,0.12607917436201443,0.22022500260270728,0.12924255733884493,0.21597266049264963
2000000000,0.14748522898435512,0.24875521762738384,0.1529077956629017,0.24524205880112193
2050000000,0.1709893927765349,0.27950596774362135,0.17768184793234898,0.27356927273471676
2100000000,0.1955309689505511,0.3015650280114832,0.20344842598665913,0.3009914527574229
2150000000,0.22189809600285137,0.3303878678088631,0.23025530843469344,0.32739613634796205
2200000000,0.21266917712326538,0.32293317130217447,0.21592637101661616,0.3147172903051323
2250000000,0.1893015193273313,0.2973668652411354,0.18936240803365578,0.2880575547712172
2300000000,0.16298126855328654,0.2686584359308729,0.16378446178216421,0.260478782158883
2350000000,0.14010729839557579,0.23934400682151136,0.13927462807767022,0.2319107230289318
2400000000,0.1175617440741279,0.20872745229632894,0.11578752516238033,0.2024731133246953
2450000000,0.0919735838189224,0.17787084774527395,0.09344881507483649,0.172140746584858
2500000000,0.07506945362185347,0.14817747516804014,0.0721984108897793,0.14102013231822175
