time,stamp,x,y,x_gt,y_gt,ape,rpe
0,0,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
36038200,33000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
65369121,66000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
94573426,100000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
126322819,133000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
154533342,166000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
181616523,200000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
220560108,233000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
247413804,266000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
279091810,300000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
323276655,333000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
349552071,366000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
375422076,400000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
428525062,433000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
456841593,466000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
484545378,500000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
522698221,533000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
554354836,566000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
582491025,600000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
627745483,633000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
660146378,666000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
691807341,700000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
730478502,733000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
758288822,766000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
790459893,800000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
834461664,833000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
867403750,866000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
900448631,900000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
931750163,933000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
964668911,966000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
997046095,1000000000,-0.31877077676807974,-0.0939556998026827,0.0,0.0,332.328875734169,0.0
1030888030,1033000000,-0.31877077676807974,-0.0939556998026827,0.0005127428314734672,1.7697074334077634e-05,332.82572798460694,0.49685225043794023
1060102131,1066000000,-0.31877077676807974,-0.0939556998026827,0.023756873421329948,0.0006483373864504926,355.35210003144977,22.526372046842823
1091062495,1100000000,-0.31877077676807974,-0.0939556998026827,0.05655823218911671,0.0018328448861079315,387.35940708647786,32.00730705502808
1124603144,1133000000,-0.31877077676807974,-0.0939556998026827,0.08834546296023076,0.0038439543598689286,418.69846549137714,31.339058404899255
1159385638,1166000000,-0.31877077676807974,-0.0939556998026827,0.12004011757067516,0.006841210681817067,450.2388456737137,31.54038018233657
1186275535,1200000000,-0.31877077676807974,-0.0939556998026827,0.15257694418285156,0.010877506790932934,482.86506940380013,32.626223730086444
1227940649,1233000000,-0.31877077676807974,-0.0939556998026827,0.18401899049449222,0.01570195814633104,514.608931141711,31.743861737910773
1306064879,1266000000,-0.05982037922733724,-0.13179719020621516,0.21527968636489075,0.02151859445687543,314.9377333945669,-199.671197747144
1329957168,1333000000,0.013156285340038765,-0.13216283670345663,0.27812521598444995,0.03610561999921045,313.8834301582996,-1.0543032362673732
1344971611,1366000000,0.05314348372205263,-0.13197622683191915,0.30868761815543627,0.04465707143263113,310.6479143646724,-3.235515793627186
1370889115,1400000000,0.08543711688135502,-0.13083128164286612,0.33987100936048903,0.054348278619602654,314.68726567988864,4.039351315216266
1416288389,1433000000,0.11938515346654577,-0.12699341506147727,0.369821548250187,0.06465639152785549,315.3538269911378,0.6665613112491475
1442326931,1466000000,0.15700027915930953,-0.12705270287117312,0.39940384843066157,0.07609791640672406,316.2746662451552,0.9208392540173693
1483215640,1500000000,0.21670719667699156,-0.11742483753348999,0.4294852984858835,0.08872939400926452,296.2669198415153,-20.007746403639892
1514448286,1533000000,0.2548728080805944,-0.10982484130506562,0.4582654288394939,0.1018053439642274,293.5232418332299,-2.743678008285344
1537130979,1566000000,0.30537185462852023,-0.11140482577029652,0.4865395298417955,0.11577755998149372,290.5745393837148,-2.948702449515117
1569966078,1600000000,0.34452557592075705,-0.09976925313606753,0.5151126627982375,0.13118885901860527,287.1264595598871,-3.4480798238276655
1609063495,1633000000,0.37758578180124736,-0.09291352597618842,0.5422732307241986,0.14708984662343408,291.07314319933903,3.9466836394518867
1639431646,1666000000,0.4154264014666046,-0.08334998945941145,0.5687598639054079,0.16406309292519036,291.0745334764305,0.0013902770914508977
1664525783,1700000000,0.4546095368910954,-0.06874047908994624,0.595360437219868,0.18255932377691514,288.03195458886756,-3.04257888756293
