time,seq,stamp,x,y,z
1691799417393613936,0,7400000000,0.0,0.0,0.0
1691799417431381267,1,7433000000,0.0018203516956418,0.0006140571204014,-0.0001397673040628
1691799417453207306,2,7467000000,-0.0011758282780647,0.0004428724059835,0.000451662344858
1691799417481584248,3,7500000000,0.0003459345607552,0.0003395882959011,-0.0001810335088521
1691799417504908068,4,7533000000,-0.0006554942228831,-0.0002180564915761,0.0004715454997494
1691799417543796853,5,7567000000,0.0012349220924079,-2.582347951829433e-05,-7.111288141459227e-05
1691799417590042547,6,7600000000,0.0013613591436296,0.0006017116829752,-0.0007200095569714
1691799417616835838,7,7633000000,0.000988679472357,-0.0001772757386788,-0.0005199898732826
1691799417645615604,8,7667000000,0.0001883368677226,8.068876923061907e-06,0.0003402547445148
1691799417690827956,9,7700000000,0.0019545825198292,0.0007260070415213,-0.0006749220192432
1691799417716885586,10,7733000000,0.0006858170963823,0.0008182218298316,0.0001512711169198
1691799417745779793,11,7767000000,0.00141941558104,0.001126694609411,-0.0007278766715899
1691799417795349636,12,7800000000,0.0001240407582372,0.0011897075455635,-7.335544796660542e-05
1691799417822107808,13,7833000000,0.0008714376017451,0.0004294067621231,-0.0003515173448249
1691799417851103856,14,7867000000,0.0004290088545531,0.0004217695968691,-6.617075996473432e-05
1691799417886768854,15,7900000000,-0.0003700372762978,0.0003145711962133,0.0009799087420105
1691799417918306718,16,7933000000,0.000767336692661,0.0003779286635108,-0.0003245411789976
1691799417943966406,17,7967000000,0.0008641114691272,0.0004052460426464,-0.0008319180924445
1691799417994437621,18,8000000000,-0.0005848704604431,0.0013832271797582,-0.0001550309680169
1691799418022687272,19,8033000000,0.0004054659511893,0.0002222827461082,-0.0001873873407021
1691799418054576720,20,8067000000,-0.0003067614161409,3.440186264924705e-05,0.0002143949386663
1691799418092413089,21,8100000000,0.0016891428967937,0.0002719544572755,-0.0004890792770311
1691799418124470364,22,8133000000,0.0006652667652815,0.0003779855032917,-0.0002458693343214
1691799418153943688,23,8167000000,0.0003377510001882,0.0004040594794787,-1.238484401255846e-06
1691799418199381759,24,8200000000,0.0001078144632629,9.27950895857066e-05,-0.0002852446050383
1691799418233095994,25,8233000000,0.0016175237251445,0.0002790845464915,-0.00026455684565
1691799418270133496,26,8267000000,0.0018339211819693,9.868131019175053e-05,-0.0006603668443858
1691799418319680015,27,8300000000,3.618025220930576e-05,0.0005790404975414,4.914996679872274e-06
1691799418370438369,28,8367000000,-0.0014043059200048,3.040226874873042e-05,0.000217865454033
1691799418405365586,29,8400000000,-0.0006157410680316,-8.959887782111764e-05,0.0004006961244158
1691799418435012986,30,8433000000,0.0247616525739431,-0.0033649457618594,-0.0006703026592731
1691799418460342858,31,8467000000,0.0567515268921852,-0.0117922108620405,0.0016072355210781
1691799418503774691,32,8500000000,0.0907799750566482,-0.0161622986197471,0.0008784458041191
1691799418534441168,33,8533000000,0.1231524348258972,-0.0222333706915378,0.0008307695388793
1691799418562667072,34,8567000000,0.1589691042900085,-0.0275241881608963,-0.0002199262380599
